,ejecucion,AT_BT_T,segundo_15,segundo_30,minuto_1,minuto_2,minuto_3,minuto_4,minuto_5,minuto_6,minuto_7,minuto_8,minuto_9,minuto_10,categoria_prueba_id,tipo_prueba_id
0,INICIAL,AT-BT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,FINAL,AT-BT,164000.0,228000.0,311000.0,523000.0,693000.0,835000.0,964000.0,1120000.0,1230000.0,1310000.0,1400000.0,1450000.0,1,1
2,INICIAL,AT-T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
3,FINAL,AT-T,11700.0,12000.0,12100.0,12000.0,12200.0,12200.0,12400.0,12500.0,12800.0,12900.0,12900.0,13100.0,1,1
4,INICIAL,AT-T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
5,FINAL,BT-T,67100.0,79800.0,84600.0,93000.0,90200.0,118000.0,134000.0,157000.0,169000.0,182000.0,195000.0,213000.0,1,1
0,,AT-BT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
1,,AT-BT,118402.0,164608.0,224531.0,377587.0,500321.0,602840.0,695974.0,808600.0,888016.0,945774.0,1010750.0,1046849.0,1,2
2,,AT-T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
3,,AT-T,8447.0,8664.0,8736.0,8664.0,8808.0,8808.0,8952.0,9025.0,9241.0,9313.0,9313.0,9458.0,1,2
4,,AT-T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
5,,BT-T,48444.0,57613.0,61078.0,67143.0,65121.0,85192.0,96743.0,113348.0,122012.0,131398.0,140783.0,153778.0,1,2
